E,N,Q,b,c,failures,independent_board,inst_reputations,num_trials,output,permitted_strategies,q,rep,reputation_norm,reputations,run_type,runs_per_trial,seed1,seed2,seed3,seed4,successes,u_a,u_p,u_s,w
0.0,50,50,5.0,1.0,99,true,0.9629999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.500236,AllC,100,3094271954,160937628,2738019839,3892085964,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.6570000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.49922400000000006,AllD,100,3501276496,1916308487,2884299057,212405882,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9625999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.503064,AllC,100,1444308036,406261271,3142077794,3802135029,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.6437999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.4991239999999999,AllD,100,3687805086,2491352305,2508920711,1587003306,1,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,99,true,0.9621999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.50128,AllC,100,2318692008,4249821368,2023146472,1954785734,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.6416,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.5010439999999999,AllD,100,2394741560,155481102,1675257903,1125662500,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,97,true,0.9457999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.50116,AllC,100,3930515362,2526275110,2434496757,2381245198,3,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,80,true,0.4922000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.50324,AllC,100,2821442250,4195959136,4242954019,518784204,20,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,99,true,0.9611999999999997,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.5001399999999999,AllC,100,3130660469,323596522,3065684426,1347038019,1,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9627999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.50376,AllC,100,467487861,1064087524,2404373149,4052207910,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.6093999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.5027159999999999,AllD,100,399641176,557968366,3773737824,3917458191,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.5922,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.49826399999999993,AllD,100,2718039288,4029003726,839009843,4071681473,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,99,true,0.9623999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.502388,AllC,100,3913986588,977968592,2019197571,1643815262,1,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,98,true,0.9635999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.5013839999999999,AllC,100,825057441,1004074019,804270345,1813579453,2,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,99,true,0.9621999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.5012920000000001,AllC,100,1325850089,2563225146,863079681,3760565333,1,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,75,true,0.4838,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.49992400000000004,AllC,100,2336006514,3752603071,2529599412,1996639270,25,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,75,true,0.5062,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.5000040000000001,AllC,100,3443368381,1561117600,2015447883,1325741548,25,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9835999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.501648,AllD,100,1574056052,1523565866,659764183,481937497,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9830000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.500696,AllD,100,1165085912,2793248193,1782232896,3680929680,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,83,true,0.5072,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.5102159999999999,Disc,100,3406062389,2205022310,3277963616,1507691381,17,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,95,true,0.5036,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.5091920000000001,Disc,100,1444308036,406261271,3142077794,3802135029,5,0.02,0.02,0.0,1.0
